Date,Open,High,Low,Close,Adj Close,Volume
2020-11-02,12573.339844,12675.129883,12535.929688,12662.169922,12662.169922,4310590000
2020-11-03,12781.169922,12936.900391,12781.169922,12877.450195,12877.450195,4220070000
2020-11-04,12916.230469,13161.519531,12868.620117,12978.950195,12978.950195,4783040000
2020-11-05,13125.750000,13252.830078,13125.750000,13199.120117,13199.120117,4841190000
2020-11-06,13233.450195,13270.469727,13188.240234,13218.669922,13218.669922,4833950000
2020-11-09,13726.209961,13930.879883,13608.379883,13611.650391,13611.650391,8556610000
2020-11-10,13663.179688,13732.620117,13577.019531,13707.990234,13707.990234,6024230000
2020-11-11,13779.929688,13779.929688,13669.889648,13724.780273,13724.780273,4609970000
2020-11-12,13645.450195,13675.240234,13476.230469,13551.469727,13551.469727,4890120000
2020-11-13,13644.950195,13787.700195,13644.950195,13761.320313,13761.320313,4709670000
2020-11-16,13946.190430,13985.509766,13879.179688,13982.190430,13982.190430,5281980000
2020-11-17,13880.809570,13989.339844,13818.759766,13949.099609,13949.099609,4799570000
2020-11-18,13986.410156,14004.610352,13808.370117,13808.650391,13808.650391,5274450000
2020-11-19,13765.519531,13871.259766,13714.269531,13863.230469,13863.230469,4347200000
2020-11-20,13853.120117,13883.450195,13810.240234,13827.000000,13827.000000,4218970000
2020-11-23,13827.000000,14029.330078,13827.000000,13998.240234,13998.240234,5036290000
2020-11-24,14158.709961,14271.089844,14138.379883,14249.500000,14249.500000,6267570000
2020-11-25,14249.500000,14249.500000,14122.099609,14191.580078,14191.580078,4902560000
2020-11-27,14191.580078,14229.120117,14165.709961,14198.500000,14198.500000,2778450000
2020-11-30,14140.950195,14140.950195,13977.049805,14006.459961,14006.459961,6291400000
2020-12-01,14183.450195,14233.459961,14131.330078,14146.639648,14146.639648,5403660000
2020-12-02,14104.059570,14198.790039,14076.709961,14188.240234,14188.240234,5029620000
2020-12-03,14210.540039,14283.730469,14184.490234,14217.179688,14217.179688,5091760000
2020-12-04,14299.509766,14417.400391,14297.730469,14417.330078,14417.330078,5086370000
2020-12-07,14375.549805,14386.980469,14314.469727,14354.969727,14354.969727,4788560000
2020-12-08,14304.139648,14424.980469,14304.139648,14402.169922,14402.169922,4549670000
2020-12-09,14466.070313,14476.679688,14293.269531,14374.080078,14374.080078,5209940000
2020-12-10,14310.400391,14413.059570,14290.929688,14394.339844,14394.339844,4618240000
2020-12-11,14332.969727,14369.240234,14260.889648,14355.290039,14355.290039,4367150000
2020-12-14,14445.360352,14459.650391,14214.030273,14214.929688,14214.929688,4594920000
2020-12-15,14303.030273,14410.150391,14271.360352,14402.320313,14402.320313,4360280000
2020-12-16,14426.080078,14442.889648,14370.509766,14408.940430,14408.940430,4056950000
2020-12-17,14488.690430,14519.990234,14472.190430,14516.730469,14516.730469,4184930000
2020-12-18,14525.740234,14529.879883,14394.349609,14467.820313,14467.820313,7068340000
2020-12-21,14257.730469,14408.110352,14171.769531,14378.849609,14378.849609,4732160000
2020-12-22,14368.559570,14368.990234,14305.620117,14321.339844,14321.339844,4023940000
2020-12-23,14397.009766,14457.290039,14397.009766,14398.620117,14398.620117,3772630000
2020-12-24,14398.620117,14398.620117,14324.769531,14382.500000,14382.500000,1885090000
2020-12-28,14476.349609,14481.480469,14396.230469,14405.769531,14405.769531,3527460000
2020-12-29,14500.030273,14515.809570,14371.870117,14397.919922,14397.919922,3387030000
2020-12-30,14447.959961,14520.570313,14447.959961,14477.480469,14477.480469,3145200000
2020-12-31,14469.000000,14533.209961,14422.740234,14524.799805,14524.799805,3172510000
2021-01-04,14601.450195,14605.750000,14258.250000,14376.700195,14376.700195,5006680000
2021-01-05,14378.700195,14579.280273,14378.700195,14536.530273,14536.530273,4582620000
2021-01-06,14594.480469,14898.490234,14590.410156,14788.839844,14788.839844,6049970000
2021-01-07,14866.919922,14948.299805,14849.349609,14928.750000,14928.750000,5080870000
2021-01-08,14990.519531,15006.160156,14818.799805,14966.830078,14966.830078,4764180000
2021-01-11,14828.030273,14975.269531,14817.740234,14937.959961,14937.959961,4450500000
2021-01-12,14970.780273,15024.519531,14923.820313,15010.290039,15010.290039,4977210000
2021-01-13,15017.019531,15045.540039,14931.120117,14983.610352,14983.610352,4590420000
2021-01-14,15063.559570,15129.120117,15037.290039,15044.379883,15044.379883,5180140000
2021-01-15,14949.339844,14952.339844,14791.650391,14894.169922,14894.169922,5353060000
2021-01-19,15026.639648,15037.490234,14958.719727,14987.339844,14987.339844,4982940000
2021-01-20,15067.860352,15114.110352,15029.280273,15097.280273,15097.280273,4551790000
2021-01-21,15102.530273,15102.530273,14998.860352,15019.049805,15019.049805,4484460000
2021-01-22,14895.730469,14979.950195,14881.379883,14951.839844,14951.839844,5080430000
2021-01-25,14951.839844,14957.980469,14765.429688,14935.290039,14935.290039,6955860000
2021-01-26,14935.290039,14995.549805,14860.559570,14867.370117,14867.370117,6029090000
2021-01-27,14867.370117,14867.370117,14447.360352,14487.730469,14487.730469,9878040000
2021-01-28,14487.730469,14767.549805,14487.730469,14669.519531,14669.519531,6937960000
2021-01-29,14669.519531,14669.519531,14328.459961,14397.200195,14397.200195,6612570000
2021-02-01,14397.200195,14623.440430,14397.200195,14596.179688,14596.179688,5392870000
2021-02-02,14596.179688,14830.790039,14596.179688,14768.580078,14768.580078,5495370000
2021-02-03,14768.580078,14871.570313,14753.309570,14839.059570,14839.059570,4846900000
2021-02-04,14839.059570,14976.179688,14839.059570,14975.429688,14975.429688,4856670000
2021-02-05,14975.429688,15087.969727,14975.429688,15069.599609,15069.599609,4838580000
2021-02-08,15069.599609,15226.650391,15069.599609,15226.610352,15226.610352,4635030000
2021-02-09,15226.610352,15266.830078,15168.669922,15244.400391,15244.400391,4554610000
2021-02-10,15244.400391,15343.780273,15183.959961,15273.900391,15273.900391,4815380000
2021-02-11,15273.900391,15341.339844,15195.849609,15297.089844,15297.089844,4570080000
2021-02-12,15297.089844,15373.769531,15254.870117,15369.599609,15369.599609,4119260000
2021-02-16,15370.219727,15483.200195,15370.219727,15423.019531,15423.019531,5037360000
2021-02-17,15423.019531,15423.019531,15289.400391,15402.589844,15402.589844,4718280000
2021-02-18,15402.589844,15402.589844,15205.040039,15290.639648,15290.639648,4773430000
2021-02-19,15290.639648,15418.570313,15290.639648,15362.690430,15362.690430,4823940000
2021-02-22,15362.690430,15423.629883,15264.849609,15340.469727,15340.469727,5870190000
2021-02-23,15340.469727,15404.679688,15089.980469,15359.129883,15359.129883,6280650000
2021-02-24,15359.129883,15566.469727,15326.669922,15539.419922,15539.419922,5942350000
2021-02-25,15539.419922,15555.900391,15156.839844,15206.669922,15206.669922,6513060000
2021-02-26,15206.669922,15209.769531,14943.969727,15010.469727,15010.469727,6512950000
2021-03-01,15010.469727,15396.519531,15010.469727,15327.769531,15327.769531,5071540000
2021-03-02,15327.769531,15366.919922,15257.919922,15277.019531,15277.019531,5493690000
2021-03-03,15277.019531,15336.349609,15197.919922,15199.190430,15199.190430,6150790000
2021-03-04,15199.190430,15246.980469,14765.549805,14959.410156,14959.410156,7142240000
2021-03-05,14959.410156,15284.160156,14818.549805,15251.830078,15251.830078,6842570000
2021-03-08,15251.830078,15471.910156,15236.929688,15288.379883,15288.379883,5852240000
2021-03-09,15288.379883,15498.089844,15288.379883,15375.629883,15375.629883,5496340000
2021-03-10,15375.629883,15573.269531,15375.629883,15521.839844,15521.839844,5827250000
2021-03-11,15521.839844,15701.820313,15521.839844,15648.000000,15648.000000,5300010000
